Brand,Family,"EDP / EDT / Set, etc.","Size, oz.",Retailer,Rating (5/5),# of reviews,"Review (after 06/19/2017, fragrances and gift sets only + DK deo)",Y/N (Reccom),Date,ExpectedTitle,Link
Aramis,900 Herbal,EDC Spray ,3.4,Bloomingdales,-,0,-,N/A,7/9/2017,900 Herbal,https://www.bloomingdales.com/shop/product/aramis-900-herbal-eau-de-cologne-spray?ID=448034
Aramis,Black,EDT,3.7,Bloomingdales,-,0,-,N/A,7/9/2017,Black,https://www.bloomingdales.com/shop/product/aramis-black-eau-de-toilette?ID=1475369&CategoryID=2921#fn=spp%3D9
Aramis,Connoisseur,Set,,Bloomingdales,-,0,-,N/A,7/9/2017,Connoisseur,https://www.bloomingdales.com/shop/product/aramis-connoisseur-set?ID=105215&CategoryID=2921#fn=spp%3D16
Aramis,Devin Country,EDC Spray,3.4,Bloomingdales,-,0,-,N/A,7/9/2017,Devin Country,https://www.bloomingdales.com/shop/product/aramis-devin-country-eau-de-cologne-spray?ID=448037
Aramis,Signature,EDT,2,Macy's,5,2,Great smell This is very nice cologne for men. Has a great scent,Y,7/6/2017,Signature,https://www.macys.com/shop/product/aramis-eau-de-toilette-2.0-oz.?ID=510425
Aramis,Signature,EDT Natural Spray,1.7,Bloomingdales,-,0,-,N/A,7/9/2017,Signature,https://www.bloomingdales.com/shop/product/aramis-1.7-oz.-cologne-spray?ID=577382
Aramis,Signature,Cologne Spray,1.7,Bloomingdales,-,0,-,N/A,7/9/2017,Signature,https://www.bloomingdales.com/shop/product/aramis-cologne-eau-de-toilette-natural-spray-1.7-oz.?ID=450210
Aramis,Signature,EDT,3.7,Macy's,5,8,prior to 06/19/2017,-,7/9/2017,Signature,https://www.macys.com/shop/product/aramis-eau-de-toilette-spray-3.7-oz.?ID=510432
Aramis,Emissary,Gift Set,2-Pc.,Macy's,5,12,Best Gift ever. I gave this to a male friend of mine for Father's Day and he was super surprised. He loved it and it came with a bonus of toiletry carrier. Good deal.,Y,6/19/2017,Emissary,https://www.macys.com/shop/product/aramis-emissary-2-pc.-gift-set?ID=363438
Aramis,Signature,Cologne Spray,3.4,Bloomingdales,-,0,-,N/A,7/9/2017,Signature,https://www.bloomingdales.com/shop/product/aramis-3.4-oz.-cologne-spray?ID=577383
Aramis,Signature,Cologne Spray,3.4,Bloomingdales,5,1,prior to 06/19/2017,N/A,7/9/2017,Signature,https://www.bloomingdales.com/shop/product/aramis-cologne-eau-de-toilette-natural-spray-3.4-oz.?ID=71423
Aramis,Signature,Cologne,8,Bloomingdales,5,1,prior to 06/19/2017,N/A,7/9/2017,Signature,https://www.bloomingdales.com/shop/product/aramis-cologne-eau-de-toilette-natural-spray-8-oz.?ID=71422
Aramis,Havana,EDT Spray,3.4,Bloomingdales,-,0,-,N/A,7/9/2017,Havana,https://www.bloomingdales.com/shop/product/aramis-havana-eau-de-toilette-spray?ID=448038&CategoryID=2921#fn=spp%3D5
Aramis,Tuscany,EDT,,Bloomingdales,-,0,-,N/A,7/9/2017,Tuscany,https://www.bloomingdales.com/shop/product/aramis-tuscany-per-uomo-eau-de-toilette-3.4-oz?ID=448033
Aramis,For Him,EDT,8.1,Macy's,4.5,17,prior to 06/19/2017,-,7/9/2017,For Him,https://www.macys.com/shop/product/aramis-eau-de-toilette-for-him-8.1-oz.?ID=225
Aramis,Connoisseur,Gift Set,2-Pc.,Macy's,4.5,4,prior to 06/19/2017,-,7/9/2017,Connoisseur,https://www.macys.com/shop/product/aramis-connoisseur-2-pc.-gift-set?ID=510426
Aramis,Voyager,EDT,3.7,Macy's,-,0,-,N/A,7/9/2017,Voyager,https://www.macys.com/shop/product/aramis-voyager-eau-de-toilette-3.7-oz?ID=2867458
Aramis,Signature,EDT Spray,2,Ulta,4.9,18,prior to 06/19/2017,Y,7/9/2017,Signature,http://www.ulta.com/aramis-eau-de-toilette-spray?productId=xlsImpprod640818
Aramis,Black,EDT,2,Ulta,4.5,2,prior to 06/19/2017,Y,7/9/2017,Black,http://www.ulta.com/black-eau-de-toilette?productId=xlsImpprod12991001
Aramis,Tuscany Per Uomo,EDT,3.4,Macy's,5,2,prior to 06/19/2017,-,7/9/2017,Tuscany Per Uomo,https://www.macys.com/shop/product/aramis-tuscany-per-uomo-eau-de-toilette-spray-3.4-oz.?ID=430472
Aramis,JHL Custom Blended ,Cologne Spray,3.4,Bloomingdales,5,2,prior to 06/19/2017,N/A,7/9/2017,JHL Custom Blended ,https://www.bloomingdales.com/shop/product/aramis-jhl-custom-blended-cologne-spray?ID=448035
Aramis,Classic (Signature),EDT,3.7,Nordstrom,5,4,prior to 06/19/2017,N/A,7/9/2017,Classic (Signature),http://shop.nordstrom.com/s/aramis-classic-eau-de-toilette/3063612?origin=keywordsearch-personalizedsort&fashioncolor=BLACK%2FSOLID%20GREY%2FWHITE
Aramis,Classic (Signature),EDT,2,Nordstrom,5,4,prior to 06/19/2017,N/A,7/9/2017,Classic (Signature),http://shop.nordstrom.com/s/aramis-classic-eau-de-toilette/3063612?origin=keywordsearch-personalizedsort&fashioncolor=BLACK%2FSOLID%20GREY%2FWHITE
Aramis,JHL Custom Blended ,Cologne,3.4,Nordstrom,5,15,prior to 06/19/2017,N/A,7/9/2017,JHL Custom Blended ,http://shop.nordstrom.com/s/aramis-jhl-custom-blended-cologne/3063619?origin=keywordsearch-personalizedsort&fashioncolor=BLACK%2FSOLID%20GREY%2FWHITE
Aramis,Black,EDT,3.7,Nordstrom,3,1,prior to 06/19/2017,N/A,7/9/2017,Black,http://shop.nordstrom.com/s/aramis-black-eau-de-toilette/4134510?origin=keywordsearch-personalizedsort
Aramis,Black,EDT,2,Nordstrom,3,1,prior to 06/19/2017,N/A,7/9/2017,Black,http://shop.nordstrom.com/s/aramis-black-eau-de-toilette/4134510?origin=keywordsearch-personalizedsort
Aramis,Devin Country,EDC,3.4,Nordstrom,4.5,5,prior to 06/19/2017,N/A,7/9/2017,Devin Country,http://shop.nordstrom.com/s/aramis-devin-country-eau-de-cologne/3063621?origin=keywordsearch-personalizedsort
Aramis,Tuscany Per Uomo,EDT Spray,3.4,Nordstrom,5,11,prior to 06/19/2017,N/A,7/9/2017,Tuscany Per Uomo,http://shop.nordstrom.com/s/aramis-tuscany-per-uomo-eau-de-toilette-spray/3063617?origin=keywordsearch-personalizedsort
Aramis,900 Herbal,EDC,3.4,Nordstrom,5,4,prior to 06/19/2017,N/A,7/9/2017,900 Herbal,http://shop.nordstrom.com/s/aramis-900-herbal-eau-de-cologne/3063618?origin=keywordsearch-personalizedsort
Aramis,Havana,EDT Spray,3.4,Nordstrom,4,7,prior to 06/19/2017,N/A,7/9/2017,Havana,http://shop.nordstrom.com/s/aramis-havana-eau-de-toilette-spray/3063622?origin=keywordsearch-personalizedsort
DKNY,Be Delicious Be Tempted,EDP,1.7,Ulta,5,16,Great buy. Glad I purchased,Y,6/29/2017,Be Tempted,http://www.ulta.com/be-tempted-eau-de-parfum?productId=xlsImpprod14501024
DKNY,Be Delicious Be Tempted,EDP,1.7,Ulta,5,15,Love it! It's my favorite fragrance!,Y,6/28/2017,Be Tempted,http://www.ulta.com/be-tempted-eau-de-parfum?productId=xlsImpprod14501024
DKNY,Be Delicious Be Tempted,EDP,1.7,Ulta,5,14,I would buy this product again without hesitation. Got this with one of my online shipments as a sampler. I then went on to buy the rollerball. Now for my birthday one of the engineers on my ship gave me a card with money in it and I went and purchased the bottle. Love this!!!!,Y,6/21/2017,Be Tempted,http://www.ulta.com/be-tempted-eau-de-parfum?productId=xlsImpprod14501024
DKNY,Be Delicious Be Tempted,EDP,3.4,Macy's,5,1,Great fragrance. Beautiful fragranc! Love they way it smells on me and it's not over powering.,Y,6/30/2017,Be Delicious Be Tempted,https://www.macys.com/shop/product/dkny-be-delicious-be-tempted-eau-de-parfum-3.4-oz?ID=2894962
DKNY,Be Delicious Crystallized,EDP Spray,1.7,Macy's,5,10,"

THIS ONE IS A REAL WINNER I love the DKNY fragrances, but had not tried this one. With the positive reviews and discounted price, I took a chance. Came the other day, and with one spray I knew I loved this particular fragrance. OMG, now I have three of her fragrances to love!!! Thanks so much DKNY. ",Y,7/9/2017,Be Delicious Crystallized,https://www.macys.com/shop/product/dkny-be-delicious-crystallized-eau-de-parfum-spray-1.7-oz?ID=4414662
DKNY,Be Delicious Crystallized,EDP Spray,1.7,Macy's,5,9,"Yaaas All of DKNY are great, as everyone knows! This one is light and sugary and green apply, terrific for summer!",Y,7/7/2017,Be Delicious Crystallized,https://www.macys.com/shop/product/dkny-be-delicious-crystallized-eau-de-parfum-spray-1.7-oz?ID=4414662
DKNY,Be Delicious Crystallized,EDP Spray,1.7,Macy's,5,8,"the best! his is my go out, perfect for all seasons. love love",Y,7/5/2017,Be Delicious Crystallized,https://www.macys.com/shop/product/dkny-be-delicious-crystallized-eau-de-parfum-spray-1.7-oz?ID=4414662
DKNY,Be Delicious Crystallized,EDP Spray,1.7,Macy's,2,7,"Meh, Nothing Special",N/A,7/1/2017,Be Delicious Crystallized,https://www.macys.com/shop/product/dkny-be-delicious-crystallized-eau-de-parfum-spray-1.7-oz?ID=4414662
DKNY,Be Delicious Crystallized,EDP Spray,1.7,Macy's,5,6,"Great summer scent This reminds me of my happy days and teen years. This perfume is beautiful, young but mire sophisticated than other apple scents. This is going to be my daytime summer fragrance. I am amazed how long this lasted! It is fresh and I feel and smell so clean when I have this on!",Y,6/22/2017,Be Delicious Crystallized,https://www.macys.com/shop/product/dkny-be-delicious-crystallized-eau-de-parfum-spray-1.7-oz?ID=4414662
DKNY,Be Delicious Crystallized,EDP Spray,1.7,Macy's,5,5,"Still love my Be Delicious This is my go to DKNY perfume, its delicate and feminine. It doesnt mess with my allergies and my husband loves it. It'sstaying power is great.",Y,6/21/2017,Be Delicious Crystallized,https://www.macys.com/shop/product/dkny-be-delicious-crystallized-eau-de-parfum-spray-1.7-oz?ID=4414662
DKNY,Be Delicious,EDP Spray,3.4,Bloomingdales,5,1,prior to 06/19/2017,N/A,7/9/2017,Be Delicious,https://www.bloomingdales.com/shop/product/dkny-be-delicious-eau-de-parfum-spray-3.4-oz.?ID=450654
DKNY,Be Delicious,EDP Spray,1.7,Macy's,5,46,prior to 06/19/2017,-,7/9/2017,Be Delicious,https://www.macys.com/shop/product/dkny-be-delicious-eau-de-parfum-spray-1.7-oz.?ID=141023
DKNY,Be Delicious,EDP Spray,3.4,Ulta,5,366,Very nice perfume. My husband bought this for me and I absolutely love the way it smells and so does he!,Y,7/5/2017,Be Delicious,http://www.ulta.com/be-delicious-eau-de-parfum-spray?productId=VP00253
DKNY,Be Delicious,EDP Spray,3.4,Ulta,5,365,The only perfume I purchase. A couple sprays on my stomach & rubbing on my wrists and I don't smell it but I get compliments all day.,Y,7/3/2017,Be Delicious,http://www.ulta.com/be-delicious-eau-de-parfum-spray?productId=VP00253
DKNY,Be Delicious,EDP Spray,3.4,Ulta,5,364,Love it! Fresh. Love to use it daily,Y,6/28/2017,Be Delicious,http://www.ulta.com/be-delicious-eau-de-parfum-spray?productId=VP00253
DKNY,Be Delicious,EDP Spray,3.4,Macy's,5,82,prior to 06/19/2017,-,7/9/2017,Be Delicious,https://www.macys.com/shop/product/dkny-be-delicious-eau-de-parfum-spray-3.4-oz?ID=141030
DKNY,Be Delicious,EDP Rollerball,0.34,Macy's,5,16,prior to 06/19/2017,-,7/9/2017,Be Delicious,https://www.macys.com/shop/product/dkny-be-delicious-eau-de-parfum-rollerball?ID=1561080
DKNY,MYNY,EDP Spray,1,Macy's,5,6,Yum. This is wonderful smelling and the packaging is pretty enough to make you happy!,Y,7/7/2017,MYNY,https://www.macys.com/shop/product/dkny-myny-eau-de-parfum-spray-1-oz?ID=4507715
DKNY,MYNY,EDP Spray,1,Macy's,4,5,"Scrumptious scent. This fragrance smells, quite simply, delicious. Very nice.",Y,4/4/2017,MYNY,https://www.macys.com/shop/product/dkny-myny-eau-de-parfum-spray-1-oz?ID=4507715
DKNY,MYNY,EDP Spray,1,Macy's,1,4,"Don't like this one at all. I LOVE DKNY so I thought I would give this a try. It's not for me, its too woodsy not very feminine like my favorite-Be Delicious. I will be sending this one back.",N/A,6/21/2017,MYNY,https://www.macys.com/shop/product/dkny-myny-eau-de-parfum-spray-1-oz?ID=4507715
DKNY,MYNY,EDP Spray,1,Macy's,5,3,"Love DK. I love DK products, this fragrance is a light wonderful scent that I have enjoyed wearing. I will purchase this again.",Y,6/7/2017,MYNY,https://www.macys.com/shop/product/dkny-myny-eau-de-parfum-spray-1-oz?ID=4507715
DKNY,MYNY,EDP Spray,1,Macy's,5,2,"Exellent. I really recommend this product, I love the smell, long lasting",Y,5/21/2017,MYNY,https://www.macys.com/shop/product/dkny-myny-eau-de-parfum-spray-1-oz?ID=4507715
DKNY,Nectar Love,EDP,3.4,Ulta,5,2,Sexy and flirty This scent can be described as having 'sexy honey' scent. Not sweet and flowery but very alluring. My new favorite,Y,7/4/2017,Nectar Love,http://www.ulta.com/nectar-love-eau-de-parfum?productId=xlsImpprod16311029
DKNY,Nectar Love,EDP,3.4,Ulta,5,1,"Love it! It's amazing, but not overpowering!",Y,7/3/2017,Nectar Love,http://www.ulta.com/nectar-love-eau-de-parfum?productId=xlsImpprod16311029
DKNY,Nectar Love,EDP Rollerball,0.34,Ulta,2,7,I bought this for the convenience but it's not convenient if it doesn't last.,N,7/10/2017,Nectar Love,http://www.ulta.com/nectar-love-eau-de-parfum-rollerball?productId=xlsImpprod16311031
DKNY,Nectar Love,EDP Rollerball,0.34,Ulta,5,6,"Love this travel sized enticing fragrance. Using my coconut body wash and body butter I still needed something to lift the one note of that fragrance on my skin and this is it. I always find one fragrance that means summer to me but buy it in a smaller size - and travel tubes are perfect - to see if it will be my ""smell of the summer"". DKNY is that and more. It's the fragrance you smell with wood notes that so complements my coconut base that it makes a new fragrance that has people in elevators asking me what I am wearing - in a good way - not that girl who sprayed who knows what and everyone is getting out on the next floor.... Dewy, woody, but with a floral lightness makes this my summertime jam.",Y,7/5/2017,Nectar Love,http://www.ulta.com/nectar-love-eau-de-parfum-rollerball?productId=xlsImpprod16311031
DKNY,Nectar Love,EDP Rollerball,0.34,Ulta,4,5,Smells amazing! I love the smell of this perfume! I wear it all the time!,Y,7/3/2017,Nectar Love,http://www.ulta.com/nectar-love-eau-de-parfum-rollerball?productId=xlsImpprod16311031
DKNY,Nectar Love,EDP Rollerball,0.34,Ulta,5,4,"Great product!!! Use this product day or night.
",Y,7/1/2017,Nectar Love,http://www.ulta.com/nectar-love-eau-de-parfum-rollerball?productId=xlsImpprod16311031
DKNY,Nectar Love,EDP Rollerball,0.34,Ulta,4,3,"Very nice! I was surprised how light and fresh this scent is. Usually DKNY fragrances are a little heavier but this one is nice and light, not too flowery. I just so wish these rollerball fragrances lasted a little longer. But I'll still buy them, much easier to have in my purse.",Y,6/30/2017,Nectar Love,http://www.ulta.com/nectar-love-eau-de-parfum-rollerball?productId=xlsImpprod16311031
DKNY,Be Delicious,Rollerball,0.34,Ulta,5,58,Fresh sweet fragrance. Love the roller ball application and am crazy about this scent.,Y,6/21/2017,Be Delicious,http://www.ulta.com/be-delicious-rollerball?productId=xlsImpprod10651070
DKNY,Be Desired,EDP,1.7,Sephora,3.5,6,prior to 06/19/2017,-,7/9/2017,Be Desired,http://www.sephora.com/be-desired-P400939?skuId=1747195&icid2=dkny_editorspicks_us_carousel%20:p400939
DKNY,Be Desired,EDP,3.4,Sephora,3.5,6,prior to 06/19/2017,-,7/9/2017,Be Desired,http://www.sephora.com/be-desired-P400939?skuId=1747195&icid2=dkny_editorspicks_us_carousel%20:p400939
DKNY,Be Delicious,EDP,1.7,Sephora,4.5,894,prior to 06/19/2017,-,7/9/2017,Be Delicious,http://www.sephora.com/be-delicious-P79615?skuId=795294&icid2=dkny_editorspicks_us_carousel%20%3Ap79615
DKNY,Be Delicious,EDP,1,Sephora,4.5,894,prior to 06/19/2017,-,7/9/2017,Be Delicious,http://www.sephora.com/be-delicious-P79615?skuId=795294&icid2=dkny_editorspicks_us_carousel%20%3Ap79615
DKNY,Be Delicious,EDP,3.4,Sephora,4.5,894,prior to 06/19/2017,-,7/9/2017,Be Delicious,http://www.sephora.com/be-delicious-P79615?skuId=795294&icid2=dkny_editorspicks_us_carousel%20%3Ap79615
DKNY,Be Delicious,EDP Rollerball,0.34,Sephora,5,23,prior to 06/19/2017,-,7/9/2017,Be Delicious,http://www.sephora.com/dkny-be-delicious-rollerball-P387624?skuId=1638121&icid2=dkny_editorspicks_us_carousel%20:p387624
DKNY,Be Delicious,EDP Spray,1.7,Bloomingdales,5,2,prior to 06/19/2017,N/A,7/9/2017,Be Delicious,https://www.bloomingdales.com/shop/product/dkny-be-delicious-eau-de-parfum-spray-1.7-oz.?ID=40804
DKNY,Be Delicious,EDP Spray,1.7,Bloomingdales,5,6,prior to 06/19/2017,N/A,7/9/2017,Be Delicious,https://www.bloomingdales.com/shop/product/donna-karan-cashmere-mist-eau-de-parfum-spray-1.7-oz.?ID=450673
DKNY,Be Delicious,EDP Spray,3.4,Bloomingdales,5,6,prior to 06/19/2017,N/A,7/9/2017,Be Delicious,https://www.bloomingdales.com/shop/product/donna-karan-cashmere-mist-eau-de-parfum-spray-3.4-oz.?ID=90520
DKNY,Be Delicious,EDP Spray,6.7,Bloomingdales,5,6,prior to 06/19/2017,N/A,7/9/2017,Be Delicious,https://www.bloomingdales.com/shop/product/donna-karan-cashmere-mist-eau-de-parfum-6.7-oz.?ID=1063566
Donna Karan,Cashmere Mist,Gift Set,3-Pc.,Macy's,4,13,good perfume. Good perfume smells good is soft and not like others that annoy the smell jijijiji,Y,6/30/2017,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-3-pc.-cashmere-mist-gift-set?ID=4432325
Donna Karan,Cashmere Mist,Luxuries Set,4-Pc.,Macy's,-,0,-,N/A,7/9/2017,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-4-pc.-cashmere-mist-luxuries-set?ID=4749527
Donna Karan,Cashmere Aura,EDP Rollerball,0.34,Ulta,4,2,Fabulous Scent. Convenient and easy to transport.,Y,6/30/2017,Cashmere Aura,http://www.ulta.com/cashmere-aura-eau-de-parfum-rollerball?productId=xlsImpprod14391043
Donna Karan,Cashmere Mist,Gift Set,4-Pc.,Macy's,4,5,prior to 06/19/2017,-,7/9/2017,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-4-pc.-cashmere-mist-gift-set?ID=4405020
Donna Karan,Cashmere Aura,EDP,3.4,Macy's,5,10,"Best produce ever. Great produce, I will buy again in the future!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",N/A,7/7/2017,Cashmere Aura,https://www.macys.com/shop/product/donna-karan-cashmere-aura-eau-de-parfum-3.4-oz?ID=2839317
Donna Karan,Cashmere Aura,EDP,3.4,Macy's,5,9,Mesmerizingly heavenly. I have always been intrigued by Donna Karan since a young 20 year old. As I was going through fragrances I like to see new fragrances. A sales lady walked up to spray on some perfume SHE recommended. I sprayed on Donna Karan Cashmere Aura. I didn'the like it. As I approached Juniors there was a wonderful fragrance in the air near me. As I said something smells so good. I smelled my arm my heavenly scent. Light and capturing. I made a uturn went back to counter and purchased a travelers bottle. As I love it now. I went back to purchase a 3.4 only to find all stores had sent it back. I just ordered an available gift box from Macy's. This is my coping mega ism. So happy....,Y,6/24/2017,Cashmere Aura,https://www.macys.com/shop/product/donna-karan-cashmere-aura-eau-de-parfum-3.4-oz?ID=2839317
Donna Karan,Cashmere Aura,EDP Rollerball,0.34,Macy's,5,3,-,-,7/9/2017,Cashmere Aura,https://www.macys.com/shop/product/donna-karan-cashmere-aura-eau-de-parfum-rollerball-0.34-oz?ID=2839956
Donna Karan,Cashmere Aura,Spring Gift Set,,Macy's,-,0,-,N/A,7/9/2017,Cashmere Aura,https://www.macys.com/shop/product/donna-karan-cashmere-aura-spring-gift-set?ID=4507590
Donna Karan,Cashmere Mist,Deodorant,1.7,Macy's,5,202,"It's smell so good my husband love the smell, it's. It's smell so good my husband love the smell, it's last long I loved it I recommend this product.",Y,7/7/2017,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-cashmere-mist-deodorant-1.7-oz?ID=92782
Donna Karan,Cashmere Mist,Deodorant,1.7,Macy's,5,201,Great deoderant. Love the subtle smell. I don't mind spending more for this have-to-have.,Y,6/30/2017,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-cashmere-mist-deodorant-1.7-oz?ID=92782
Donna Karan,Cashmere Mist,Deodorant,1.7,Sephora,5,422,LOVE this deodorant. have searched for years and have never found one so great,N/A,7/5/2017,Cashmere Mist,http://www.sephora.com/cashmere-mist-deodorant-P380541?skuId=592527&icid2=products%20grid:p380541
Donna Karan,Cashmere Mist,Deodorant,1.7,Sephora,4,421,"love this stuff- the only deodorant I wear. Although it's pricey for a deodorant, I love the smell and it keeps my armpits dry. Make sure not to apply too heavy handed because it does go on white and can easily get on dark clothes. But the great perfume smell is worth it, as it lasts all day.",N/A,7/3/2017,Cashmere Mist,http://www.sephora.com/cashmere-mist-deodorant-P380541?skuId=592527&icid2=products%20grid:p380541
Donna Karan,Cashmere Mist,Deodorant,1.7,Sephora,5,420,"Pricey, but works perfectly. I have an issue with body odor - not even with perspiration itself, but that if wrong deodorant or no deodorant is chosen, my clothes will start smelling pretty soon, even if there is no visible perspiration marks. I bought this one accidentally and I am very happy, as the smell is weaker than some natural deodorants, it applies very softly and while pricey, works perfectly and lasts quite a while.",N/A,6/28/2017,Cashmere Mist,http://www.sephora.com/cashmere-mist-deodorant-P380541?skuId=592527&icid2=products%20grid:p380541
Donna Karan,Cashmere Aura,EDP,1.7,Ulta,5,2,prior to 06/19/2017,Y,7/9/2017,Cashmere Aura,http://www.ulta.com/cashmere-aura-eau-de-parfum?productId=xlsImpprod14391041
Donna Karan,Cashmere Mist,Deodorant,1.7,Ulta,5,251,"
Expensive but worth it! It's the only thing I've found where I can be in surgery (work) and not pit out.",Y,7/9/2017,Cashmere Mist,http://www.ulta.com/cashmere-mist-deodorant?productId=fs748724
